"county_name","state","foreign_born","foreign_born_pct","median_household_income","median_home_price","population","land_area","population_density","median_age","white_pct","black_pct","hispanic_pct","asian_pct","hs_diploma","bs_degree","males","females","household_size","cost_of_living_index","poverty","transport_auto_alone","transport_carpool","native_american_pct","transport_bus_trolley"
"Polk","GA","3,037","7.2%","$41,300","$107,260","42,125","311","135","37.7","71.2%","12.5%","13.1%","0.6%","75.6%","13.5%","20,497","21,628","2.0","81.6","18.1%","87.5%","6.3%",,"0.4%"
"Pulaski","GA","177","1.5%","$40,801","$124,881","11,699","247","47","41.7","58.6%","34.3%","4.8%",,"80.5%","12.3%","4,848","6,851","2.0","82.0","21.3%","77.6%","12.6%",,
"Putnam","GA","1,268","5.8%","$48,023","$170,740","21,703","345","63","45.7","64.6%","26.6%","6.6%",,"84.0%","18.9%","10,730","10,973","2.0","82.8","16.0%","77.8%","11.6%",,"0.3%"
"Quitman","GA","35","1.7%","$31,244","$76,286","2,138","152","14","48.5","47.5%","49.6%","1.0%",,"76.3%","8.8%","1,064","1,074","2.0","81.4","23.0%","71.5%","22.7%",,
"Rabun","GA","979","5.9%","$40,168","$173,805","16,652","371","45","48.8","86.5%","2.0%","8.2%","0.7%","85.9%","27.3%","8,222","8,430","2.0","83.7","19.6%","74.1%","16.2%",,"1.4%"
"Randolph","GA","180","2.4%","$31,858","$78,365","7,374","429","17","41.7","34.4%","63.1%","0.6%","1.9%","70.6%","13.8%","3,806","3,568","2.0","81.0","25.7%","68.5%","16.2%",,"1.5%"
"Richmond","GA","7,181","3.6%","$41,419","$101,600","201,647","324","622","34.0","35.1%","56.0%","4.9%","2.0%","84.1%","22.1%","97,382","104,265","2.0","90.3","25.2%","84.9%","8.0%",,"1.4%"
"Rockdale","GA","7,174","8.0%","$56,820","$166,100","89,355","131","684","38.4","35.2%","50.3%","10.1%","2.1%","88.4%","24.5%","42,098","47,257","2.0","95.5","14.3%","80.2%","12.3%",,"0.1%"
"Schley","GA","85","1.6%","$43,264","$108,683","5,195","168","31","38.6","68.1%","26.9%","4.9%",,"80.9%","15.4%","2,561","2,634","2.0","81.4","19.6%","80.0%","10.3%",,"0.5%"
"Screven","GA","149","1.0%","$36,778","$85,151","14,408","648","22","40.8","54.0%","42.3%","1.8%",,"80.9%","14.9%","7,043","7,365","2.0","79.3","22.5%","81.4%","8.7%",,"0.7%"
"Seminole","GA","125","1.4%","$37,159","$84,057","8,877","238","37","45.6","61.1%","34.8%","3.0%",,"81.9%","15.4%","4,220","4,657","2.0","81.2","17.1%","76.4%","14.0%",,"0.3%"
"Spalding","GA","2,303","3.5%","$42,551","$120,722","65,343","198","330","38.8","59.0%","33.5%","4.4%","1.0%","79.3%","15.9%","31,667","33,676","2.0","94.9","21.2%","85.2%","9.7%",,"0.3%"
"Stephens","GA","561","2.2%","$38,920","$104,961","26,118","179","146","41.5","82.6%","12.9%","3.0%",,"81.2%","18.3%","12,349","13,769","2.0","81.3","18.0%","84.6%","7.7%",,
"Stewart","GA","1,761","29.8%","$21,913","$57,132","5,912","459","13","37.6","26.2%","47.7%","22.6%","2.4%","61.8%","10.7%","3,596","2,316","2.0","80.7","37.2%","92.2%","2.9%",,
"Sumter","GA","1,016","3.2%","$35,191","$95,111","31,719","485","65","35.3","39.1%","52.4%","5.4%","1.3%","78.1%","20.8%","14,984","16,735","2.0","80.9","30.2%","80.1%","12.9%",,"0.0%"
"Talbot","GA","64","1.0%","$38,783","$82,087","6,506","393","17","48.3","39.3%","57.7%","2.2%",,"78.3%","13.1%","3,102","3,404","2.0","80.5","18.6%","79.4%","7.7%",,"0.4%"
"Taliaferro","GA","67","3.5%","$29,543","$62,386","1,943","195","10","44.4","30.9%","64.2%","4.3%",,"66.9%","9.1%","988","955","2.0","80.3","28.2%","87.8%","4.0%",,"0.3%"
"Tattnall","GA","944","3.7%","$37,336","$93,688","25,787","484","53","36.9","57.8%","29.5%","11.1%",,"74.0%","11.8%","15,029","10,758","2.0","80.8","24.9%","77.5%","9.7%",,"0.2%"
"Taylor","GA","106","1.2%","$28,453","$65,888","8,528","377","23","43.1","57.2%","39.6%","2.3%","0.8%","75.9%","11.7%","4,106","4,422","2.0","80.9","25.5%","78.5%","12.8%",,"2.3%"
"Telfair","GA","2,158","12.9%","$29,023","$63,152","16,747","441","38","39.9","48.4%","36.4%","14.8%",,"72.5%","9.5%","9,635","7,112","2.0","80.6","25.8%","84.4%","8.8%",,
"Terrell","GA","56","0.6%","$31,942","$94,673","9,322","335","28","41.5","35.0%","61.7%","2.6%",,"73.3%","12.5%","4,396","4,926","2.0","81.8","31.2%","74.5%","12.0%",,"0.3%"
"Thomas","GA","1,312","2.9%","$40,130","$138,453","45,916","548","84","39.9","56.8%","36.4%","3.5%","0.8%","82.1%","20.3%","21,723","24,193","2.0","83.6","19.1%","81.9%","12.4%",,"0.1%"
"Tift","GA","2,726","6.6%","$39,471","$129,478","41,541","265","157","35.5","55.8%","29.7%","11.3%","1.4%","81.5%","18.2%","19,597","21,944","2.0","81.8","24.7%","82.4%","10.5%",,"0.9%"
"Toombs","GA","1,746","6.3%","$34,715","$102,444","27,727","367","76","35.9","60.0%","25.4%","11.6%","1.0%","79.5%","17.6%","12,931","14,796","2.0","81.5","23.9%","82.2%","11.1%",,"0.2%"
"Towns","GA","316","2.8%","$41,264","$207,296","11,205","167","67","53.4","94.9%","1.0%","2.4%",,"89.7%","26.0%","5,312","5,893","2.0","84.4","13.5%","80.0%","8.2%",,
"Treutlen","GA","86","1.3%","$42,190","$78,037","6,851","201","34","40.6","66.4%","31.5%","1.8%",,"77.2%","17.0%","3,359","3,492","2.0","80.0","16.8%","76.4%","15.3%",,
"Troup","GA","4,025","5.7%","$42,371","$133,400","70,005","414","169","36.4","57.1%","34.9%","3.7%","1.9%","78.5%","21.0%","34,260","35,745","2.0","83.1","21.7%","86.0%","9.3%",,"0.2%"
"Turner","GA","366","4.4%","$36,380","$79,898","8,321","286","29","39.5","54.2%","38.7%","4.5%","1.4%","75.3%","12.7%","4,118","4,203","2.0","79.0","24.8%","78.6%","13.0%",,"0.3%"
"Twiggs","GA","93","1.1%","$33,187","$64,137","8,537","360","24","46.1","54.2%","43.2%",,,"69.0%","12.1%","4,239","4,298","2.0","79.9","27.2%","73.8%","16.0%",,"2.9%"
"Union","GA","493","2.2%","$43,745","$202,918","22,493","323","70","54.0","94.2%","0.7%","3.0%","0.8%","89.0%","23.2%","10,993","11,500","2.0","84.1","11.8%","83.6%","9.0%","0.7%",
"Upson","GA","369","1.4%","$37,463","$91,499","26,945","325","83","41.4","67.2%","28.7%","2.4%","0.7%","79.1%","13.9%","12,839","14,106","2.0","80.3","20.6%","81.7%","13.2%",,"0.2%"
"Walker","GA","1,966","2.9%","$39,209","$113,400","67,896","447","152","41.4","91.1%","4.4%","2.0%","0.5%","78.5%","16.6%","34,263","33,633","2.0","88.5","20.7%","80.7%","9.8%",,"0.6%"
"Walton","GA","5,033","5.6%","$53,202","$168,900","90,184","329","274","38.3","75.8%","16.9%","3.9%","1.4%","86.1%","22.9%","44,482","45,702","2.0","95.8","13.6%","79.0%","11.3%",,"0.0%"
"Ware","GA","1,261","3.5%","$36,419","$84,385","36,416","902","40","38.5","63.5%","29.6%","3.8%","1.1%","81.6%","13.3%","18,027","18,389","2.0","80.1","25.2%","84.9%","9.0%","0.5%","0.8%"
"Warren","GA","113","2.0%","$33,450","$67,968","5,619","286","20","45.4","36.9%","60.5%","0.7%","0.8%","73.5%","12.5%","2,612","3,007","2.0","80.5","23.7%","83.3%","4.8%",,"1.0%"
"Washington","GA","361","1.7%","$39,265","$86,902","21,112","680","31","40.6","42.8%","53.3%","2.2%",,"78.5%","12.7%","10,638","10,474","2.0","80.9","23.7%","78.8%","13.5%",,"0.7%"
"Wayne","GA","883","2.9%","$41,880","$107,917","30,633","645","48","38.2","70.6%","20.2%","6.2%",,"82.1%","13.8%","15,632","15,001","2.0","81.2","18.5%","82.1%","10.0%",,"0.4%"
"Webster","GA","7","0.3%","$38,903","$55,491","2,727","210","13","40.1","48.7%","50.2%","1.1%",,"77.7%","9.8%","1,390","1,337","2.0","79.7","20.1%","87.6%","9.0%",,
"Wheeler","GA","126","1.6%","$29,151","$52,864","8,097","298","27","38.7","55.7%","42.0%","2.1%",,"76.3%","5.1%","5,244","2,853","2.0","79.7","24.6%","90.4%","2.5%",,
"White","GA","809","2.8%","$44,352","$169,865","28,728","242","119","44.9","92.2%","2.5%","3.1%",,"84.9%","21.6%","13,907","14,821","2.0","83.5","17.3%","80.1%","10.6%",,"0.5%"
"Whitfield","GA","19,032","18.2%","$46,399","$127,900","104,589","290","361","35.1","59.2%","3.8%","34.1%","1.4%","68.4%","12.5%","52,233","52,356","2.0","88.1","17.6%","86.1%","9.3%",,"0.1%"
"Wilcox","GA","221","2.4%","$35,754","$73,659","9,069","380","24","39.6","57.8%","36.2%","4.2%",,"77.2%","9.9%","5,341","3,728","2.0","80.0","18.7%","84.1%","8.5%",,
"Wilkes","GA","369","3.6%","$35,115","$95,439","10,131","471","21","45.1","50.6%","43.6%","4.3%","0.8%","77.8%","14.3%","4,814","5,317","2.0","81.4","24.0%","83.4%","8.6%",,"0.6%"
"Wilkinson","GA","75","0.8%","$40,745","$76,176","9,506","447","21","43.2","56.3%","38.8%","2.6%",,"82.2%","9.0%","4,540","4,966","2.0","80.4","18.7%","82.1%","10.3%",,"0.1%"
"Worth","GA","362","1.7%","$40,595","$85,151","21,426","570","38","41.3","66.4%","29.9%","2.1%",,"77.2%","10.5%","10,424","11,002","2.0","80.8","16.6%","83.7%","7.2%",,"0.2%"
